amt,is_fraud,user_id,latitudinal_distance,longitudinal_distance
122.86,0,6,0.488,0.719
8.68,0,7,0.527,0.533
17.28,0,10,0.017,0.071
5.68,0,2,0.199,0.783
7.12,0,9,0.384,0.919
78.8,0,3,0.267,0.576
6.45,0,9,0.924,0.521
87.07,0,5,0.437,0.073
20.29,0,6,0.729,0.587
7.27,0,0,0.97,0.846
67.19,0,6,0.744,0.564
140.48,0,10,0.795,0.569
58.85,0,5,0.262,0.583
24.77,0,2,0.873,0.517
13.51,0,5,0.413,0.419
52.37,0,10,0.768,0.227
6.12,0,10,0.762,0.572
56.15,0,7,0.483,0.285
166.6,0,7,0.935,0.833
52.94,0,0,0.986,0.148
82.08,0,0,0.043,0.261
34.79,0,0,0.777,0.149
52.67,0,9,0.907,0.99
27.18,0,0,0.317,0.805
8.67,0,2,0.936,0.642
166.11,0,7,0.752,0.758
46.91,0,10,0.646,0.824
149.42,0,10,0.659,0.353
6.87,0,0,0.473,0.571
8.43,0,0,0.133,0.264
94.2,0,1,0.771,0.295
8.87,0,7,0.509,0.839
50.15,0,10,0.838,0.217
167.57,0,7,0.867,0.426
98.77,0,7,0.519,0.544
30.11,0,5,0.35,0.987
78.03,0,5,0.629,0.194
99.32,0,3,0.254,0.701
1.68,0,7,0.972,0.201
117.11,0,0,0.328,0.578
77.27,0,3,0.304,0.052
26.74,0,0,0.593,0.081
1.08,0,2,0.242,0.221
105.2,0,0,0.69,0.342
109.9,0,6,0.602,0.888
53.33,0,2,0.602,0.688
41.33,0,7,0.127,0.165
140.59,0,10,0.546,0.506
69.22,0,10,0.643,0.085
4.98,0,0,0.127,0.017
70.24,0,6,0.546,0.735
3.69,0,6,0.844,0.726
3.74,0,2,0.72,0.268
34.55,0,10,0.704,0.758
3.46,0,7,0.738,0.031
9.37,0,4,0.503,0.068
625.07,0,7,0.307,0.503
102.47,0,0,0.844,0.517
91.57,0,5,0.968,0.981
28.19,0,10,0.223,0.071
2.48,0,10,0.767,0.132
64.03,0,5,0.156,0.094
5.34,0,5,0.854,0.422
83.8,0,1,0.942,0.831
40.4,0,9,0.117,0.646
570.02,0,10,0.03,0.889
204.15,0,0,0.965,0.474
70.22,0,3,0.464,0.952
26.84,0,10,0.765,0.649
140.66,0,2,0.558,0.49
113.22,0,2,0.878,0.593
90.72,0,1,0.767,0.806
89.32,0,1,0.154,0.661
137.47,0,4,0.53,0.577
38.25,0,1,0.981,0.514
3.75,0,7,0.451,0.599
77.27,0,1,0.432,0.66
64.31,0,0,0.444,0.864
90.17,0,3,0.185,0.88
12.95,0,1,0.287,0.14
21.5,0,7,0.289,0.737
5.37,0,7,0.433,0.951
39.0,0,10,0.731,0.967
55.0,0,4,0.246,0.59
218.73,0,6,0.479,0.089
6.35,0,4,0.597,0.498
13.91,0,5,0.487,0.486
200.77,0,0,0.337,0.333
81.48,0,0,0.59,0.465
4.99,0,10,0.587,0.92
130.35,0,7,0.938,0.872
40.24,0,2,0.769,0.81
134.81,0,10,0.973,0.091
43.94,0,10,0.065,0.572
76.33,0,0,0.721,0.13
137.69,0,7,0.849,0.525
71.15,0,3,0.637,0.1
52.47,0,0,0.781,0.109
55.79,0,1,0.384,0.553
63.53,0,1,0.842,0.805
35.59,0,10,0.578,0.567
130.53,0,5,0.436,0.44
50.29,0,10,0.389,0.732
3.39,0,2,0.094,0.364
1.76,0,5,0.975,0.92
30.93,0,7,0.942,0.758
65.75,0,1,0.002,0.117
61.05,0,7,0.757,0.383
1.9,0,0,0.157,0.243
47.71,0,6,0.479,0.581
7.41,0,10,0.512,0.687
58.41,0,2,0.702,0.125
87.25,0,3,0.591,0.387
1.15,0,4,0.258,0.496
9.69,0,2,0.455,0.581
35.8,0,5,0.66,0.621
89.06,0,3,0.434,0.803
75.13,0,3,0.114,0.367
83.49,0,4,0.556,0.973
7.13,0,0,0.405,0.736
7.3,0,2,0.632,0.315
6.96,0,0,0.087,0.961
129.17,0,5,0.24,0.764
17.62,0,9,0.988,0.313
49.25,0,0,0.976,0.192
107.11,0,1,0.18,0.974
49.09,0,5,0.323,0.119
47.36,0,2,0.28,0.147
2.08,0,4,0.304,0.796
73.85,0,0,0.572,0.186
15.61,0,7,0.301,0.36
31.91,0,1,0.699,0.986
51.02,0,7,0.94,0.92
9.18,0,7,0.661,0.977
113.23,0,10,0.937,0.907
2.02,0,10,0.25,0.954
98.37,0,5,0.928,0.645
64.69,0,1,0.45,0.902
99.84,0,3,0.075,0.551
166.49,0,1,0.416,0.529
4.11,0,1,0.707,0.679
42.14,0,7,0.183,0.499
8.75,0,1,0.209,0.957
3.17,0,7,0.492,0.142
3.17,0,0,0.92,0.258
5.61,0,7,0.553,0.454
68.17,0,10,0.178,0.117
5.98,0,2,0.031,0.671
64.61,0,4,0.174,0.8
132.47,0,7,0.648,0.198
7.29,0,5,0.957,0.83
76.34,0,1,0.316,0.919
1.04,0,7,0.97,0.363
30.28,0,10,0.746,0.961
49.71,0,7,0.962,0.087
117.66,0,7,0.164,0.783
14.82,0,5,0.389,0.093
2.77,0,0,0.472,0.146
8.08,0,10,0.34,0.278
8.5,0,0,0.587,0.661
9.25,0,9,0.88,0.595
80.63,0,4,0.353,0.356
77.64,0,3,0.185,0.696
7.63,0,4,0.669,0.698
59.36,0,7,0.96,0.202
25.62,0,1,0.746,0.793
94.37,0,7,0.562,0.249
72.81,0,0,0.272,0.286
2.6,0,10,0.902,0.062
69.52,0,3,0.397,0.289
25.81,0,4,0.002,0.695
12.83,0,0,0.991,0.029
41.57,0,5,0.462,0.418
