amt,is_fraud,user_id,latitudinal_distance,longitudinal_distance
122.86,0,6,0.488,0.719
113.4,0,29,0.136,0.393
89.35,0,28,0.031,0.91
61.0,0,15,0.492,0.134
98.24,0,12,0.522,0.371
59.67,0,38,0.629,0.738
8.68,0,7,0.527,0.533
909.66,0,30,0.831,0.554
63.89,0,19,0.848,0.872
17.28,0,10,0.017,0.071
75.19,0,38,0.604,0.856
69.75,0,22,0.011,0.33
60.32,0,38,0.957,0.921
5.68,0,2,0.199,0.783
7.12,0,9,0.384,0.919
95.8,0,37,0.062,0.002
78.8,0,3,0.267,0.576
105.76,0,14,0.69,0.976
113.41,0,36,0.912,0.816
119.3,0,16,0.684,0.514
6.45,0,9,0.924,0.521
84.47,0,37,0.803,0.504
31.98,0,29,0.378,0.94
40.8,0,32,0.526,0.406
96.96,0,35,0.7,0.852
1.13,0,40,0.454,0.826
180.26,0,22,0.676,0.429
66.45,0,18,0.331,0.542
98.25,0,25,0.285,0.705
134.8,0,17,0.27,0.194
87.07,0,5,0.437,0.073
16.96,0,17,0.839,0.583
20.29,0,6,0.729,0.587
72.61,0,29,0.861,0.712
7.27,0,0,0.97,0.846
67.19,0,6,0.744,0.564
177.82,0,28,0.506,0.872
68.58,0,16,0.746,0.088
9.47,0,30,0.637,0.794
47.51,0,29,0.879,0.487
73.32,0,29,0.359,0.441
18.48,0,32,0.81,0.898
87.91,0,32,0.888,0.948
14.69,0,40,0.419,0.848
40.75,0,19,0.424,0.507
140.48,0,10,0.795,0.569
79.04,0,23,0.748,0.191
179.59,0,39,0.142,0.255
3.89,0,28,0.848,0.805
66.65,0,38,0.262,0.632
8.29,0,14,0.145,0.729
8.51,0,17,0.177,0.8
9.17,0,24,0.377,0.164
53.32,0,28,0.232,0.628
72.97,0,29,0.208,0.626
75.78,0,35,0.624,0.619
58.85,0,5,0.262,0.583
25.67,0,32,0.436,0.814
24.77,0,2,0.873,0.517
48.81,0,29,0.823,0.835
19.76,0,38,0.097,0.364
59.84,0,33,0.046,0.926
75.44,0,25,0.322,0.424
1.88,0,38,0.292,0.825
13.51,0,5,0.413,0.419
46.28,0,32,0.476,0.845
29.48,0,38,0.781,0.031
37.39,0,14,0.919,0.535
142.57,0,38,0.129,0.535
105.78,0,19,0.879,0.144
11.35,0,14,0.083,0.624
86.69,0,18,0.399,0.961
57.14,0,23,0.362,0.898
92.64,0,19,0.227,0.391
75.33,0,16,0.012,0.529
48.67,0,37,0.293,0.395
54.98,0,29,0.524,0.65
1.03,0,28,0.507,0.153
1.5,0,30,0.592,0.087
67.73,0,39,0.948,0.892
1.36,0,32,0.104,0.918
24.01,0,32,0.651,0.794
3.06,0,22,0.505,0.644
32.97,0,31,0.416,0.982
31.06,0,21,0.039,0.163
44.75,0,40,0.27,0.826
40.87,0,28,0.472,0.559
115.13,0,25,0.891,0.997
9.37,0,15,0.825,0.169
95.9,0,31,0.413,0.202
52.37,0,10,0.768,0.227
105.05,0,15,0.476,0.004
70.45,0,26,0.674,0.665
1.1,0,39,0.984,0.726
53.78,0,17,0.188,0.347
43.34,0,18,0.286,0.393
6.12,0,10,0.762,0.572
56.15,0,7,0.483,0.285
166.6,0,7,0.935,0.833
52.94,0,0,0.986,0.148
82.08,0,0,0.043,0.261
16.5,0,33,0.239,0.188
62.26,0,32,0.028,0.436
64.73,0,38,0.636,0.378
28.43,0,19,0.053,0.962
34.79,0,0,0.777,0.149
52.67,0,9,0.907,0.99
27.18,0,0,0.317,0.805
30.87,0,24,0.148,0.186
28.31,0,35,0.714,0.15
149.98,0,16,0.467,0.396
8.67,0,2,0.936,0.642
166.11,0,7,0.752,0.758
19.03,0,40,0.024,0.788
74.37,0,40,0.475,0.538
5.03,0,28,0.42,0.071
76.64,0,29,0.53,0.022
46.91,0,10,0.646,0.824
51.86,0,36,0.454,0.397
17.09,0,22,0.819,0.14
60.39,0,24,0.848,0.503
6.36,0,18,0.454,0.899
7.4,0,39,0.985,0.758
342.99,0,31,0.059,0.658
113.67,0,30,0.757,0.819
149.42,0,10,0.659,0.353
111.8,0,17,0.146,0.563
36.45,0,28,0.947,0.493
4.28,0,15,0.714,0.757
88.09,0,23,0.229,0.802
37.03,0,18,0.373,0.673
126.75,0,40,0.934,0.716
42.85,0,19,0.435,0.626
6.36,0,35,0.119,0.677
56.55,0,19,0.599,0.474
59.0,0,38,0.092,0.142
59.26,0,21,0.745,0.171
40.39,0,38,0.833,0.127
2.97,0,19,0.342,0.966
4.42,0,28,0.64,0.21
3.23,0,27,0.712,0.188
6.87,0,0,0.473,0.571
134.95,0,24,0.598,0.702
2.5,0,24,0.448,0.326
8.43,0,0,0.133,0.264
