amt,user_id,latitudinal_distance,longitudinal_distance,is_fraud
122.86,6,0.488,0.719,0
8.68,7,0.527,0.533,0
17.28,10,0.017,0.071,0
5.68,2,0.199,0.783,0
7.12,9,0.384,0.919,0
78.8,3,0.267,0.576,0
6.45,9,0.924,0.521,0
87.07,5,0.437,0.073,0
20.29,6,0.729,0.587,0
7.27,0,0.97,0.846,0
67.19,6,0.744,0.564,0
140.48,10,0.795,0.569,0
58.85,5,0.262,0.583,0
24.77,2,0.873,0.517,0
13.51,5,0.413,0.419,0
52.37,10,0.768,0.227,0
6.12,10,0.762,0.572,0
56.15,7,0.483,0.285,0
166.6,7,0.935,0.833,0
52.94,0,0.986,0.148,0
82.08,0,0.043,0.261,0
34.79,0,0.777,0.149,0
52.67,9,0.907,0.99,0
27.18,0,0.317,0.805,0
8.67,2,0.936,0.642,0
166.11,7,0.752,0.758,0
46.91,10,0.646,0.824,0
149.42,10,0.659,0.353,0
6.87,0,0.473,0.571,0
8.43,0,0.133,0.264,0
94.2,1,0.771,0.295,0
8.87,7,0.509,0.839,0
50.15,10,0.838,0.217,0
167.57,7,0.867,0.426,0
98.77,7,0.519,0.544,0
30.11,5,0.35,0.987,0
78.03,5,0.629,0.194,0
99.32,3,0.254,0.701,0
1.68,7,0.972,0.201,0
117.11,0,0.328,0.578,0
77.27,3,0.304,0.052,0
26.74,0,0.593,0.081,0
1.08,2,0.242,0.221,0
105.2,0,0.69,0.342,0
109.9,6,0.602,0.888,0
53.33,2,0.602,0.688,0
41.33,7,0.127,0.165,0
140.59,10,0.546,0.506,0
69.22,10,0.643,0.085,0
4.98,0,0.127,0.017,0
70.24,6,0.546,0.735,0
3.69,6,0.844,0.726,0
3.74,2,0.72,0.268,0
34.55,10,0.704,0.758,0
3.46,7,0.738,0.031,0
9.37,4,0.503,0.068,0
625.07,7,0.307,0.503,0
102.47,0,0.844,0.517,0
91.57,5,0.968,0.981,0
28.19,10,0.223,0.071,0
2.48,10,0.767,0.132,0
64.03,5,0.156,0.094,0
5.34,5,0.854,0.422,0
83.8,1,0.942,0.831,0
40.4,9,0.117,0.646,0
570.02,10,0.03,0.889,0
204.15,0,0.965,0.474,0
70.22,3,0.464,0.952,0
26.84,10,0.765,0.649,0
140.66,2,0.558,0.49,0
113.22,2,0.878,0.593,0
90.72,1,0.767,0.806,0
89.32,1,0.154,0.661,0
137.47,4,0.53,0.577,0
38.25,1,0.981,0.514,0
3.75,7,0.451,0.599,0
77.27,1,0.432,0.66,0
64.31,0,0.444,0.864,0
90.17,3,0.185,0.88,0
12.95,1,0.287,0.14,0
21.5,7,0.289,0.737,0
5.37,7,0.433,0.951,0
39.0,10,0.731,0.967,0
55.0,4,0.246,0.59,0
218.73,6,0.479,0.089,0
6.35,4,0.597,0.498,0
13.91,5,0.487,0.486,0
200.77,0,0.337,0.333,0
81.48,0,0.59,0.465,0
4.99,10,0.587,0.92,0
130.35,7,0.938,0.872,0
40.24,2,0.769,0.81,0
134.81,10,0.973,0.091,0
43.94,10,0.065,0.572,0
76.33,0,0.721,0.13,0
137.69,7,0.849,0.525,0
71.15,3,0.637,0.1,0
52.47,0,0.781,0.109,0
55.79,1,0.384,0.553,0
63.53,1,0.842,0.805,0
35.59,10,0.578,0.567,0
130.53,5,0.436,0.44,0
50.29,10,0.389,0.732,0
3.39,2,0.094,0.364,0
1.76,5,0.975,0.92,0
30.93,7,0.942,0.758,0
65.75,1,0.002,0.117,0
61.05,7,0.757,0.383,0
1.9,0,0.157,0.243,0
47.71,6,0.479,0.581,0
7.41,10,0.512,0.687,0
58.41,2,0.702,0.125,0
87.25,3,0.591,0.387,0
1.15,4,0.258,0.496,0
9.69,2,0.455,0.581,0
35.8,5,0.66,0.621,0
89.06,3,0.434,0.803,0
75.13,3,0.114,0.367,0
83.49,4,0.556,0.973,0
7.13,0,0.405,0.736,0
7.3,2,0.632,0.315,0
6.96,0,0.087,0.961,0
129.17,5,0.24,0.764,0
17.62,9,0.988,0.313,0
49.25,0,0.976,0.192,0
107.11,1,0.18,0.974,0
49.09,5,0.323,0.119,0
47.36,2,0.28,0.147,0
2.08,4,0.304,0.796,0
73.85,0,0.572,0.186,0
15.61,7,0.301,0.36,0
31.91,1,0.699,0.986,0
51.02,7,0.94,0.92,0
9.18,7,0.661,0.977,0
113.23,10,0.937,0.907,0
2.02,10,0.25,0.954,0
98.37,5,0.928,0.645,0
64.69,1,0.45,0.902,0
99.84,3,0.075,0.551,0
166.49,1,0.416,0.529,0
4.11,1,0.707,0.679,0
42.14,7,0.183,0.499,0
8.75,1,0.209,0.957,0
3.17,7,0.492,0.142,0
3.17,0,0.92,0.258,0
5.61,7,0.553,0.454,0
68.17,10,0.178,0.117,0
5.98,2,0.031,0.671,0
64.61,4,0.174,0.8,0
132.47,7,0.648,0.198,0
7.29,5,0.957,0.83,0
76.34,1,0.316,0.919,0
1.04,7,0.97,0.363,0
30.28,10,0.746,0.961,0
49.71,7,0.962,0.087,0
117.66,7,0.164,0.783,0
14.82,5,0.389,0.093,0
2.77,0,0.472,0.146,0
8.08,10,0.34,0.278,0
8.5,0,0.587,0.661,0
9.25,9,0.88,0.595,0
80.63,4,0.353,0.356,0
77.64,3,0.185,0.696,0
7.63,4,0.669,0.698,0
59.36,7,0.96,0.202,0
25.62,1,0.746,0.793,0
94.37,7,0.562,0.249,0
72.81,0,0.272,0.286,0
2.6,10,0.902,0.062,0
69.52,3,0.397,0.289,0
25.81,4,0.002,0.695,0
12.83,0,0.991,0.029,0
41.57,5,0.462,0.418,0
17.76,6,0.202,0.291,0
31.79,9,0.967,0.509,0
64.52,10,0.731,0.089,0
74.1,5,0.077,0.325,0
54.55,5,0.951,0.548,0
28.24,5,0.14,0.133,0
28.01,1,0.325,0.755,0
60.63,1,0.783,0.645,0
7.42,7,0.797,0.856,0
131.09,2,0.776,0.466,0
250.47,1,0.821,0.861,0
16.33,9,0.083,0.773,0
84.42,6,0.485,0.464,0
12.69,1,0.55,0.939,0
49.49,5,0.89,0.224,0
85.76,6,0.012,0.748,0
6.68,10,0.983,0.41,0
6.11,0,0.717,0.531,0
44.21,1,0.12,0.565,0
22.99,1,0.349,0.706,0
62.62,0,0.137,0.531,0
1.84,0,0.783,0.413,0
7.16,0,0.379,0.497,0
96.81,5,0.316,0.903,0
7.95,9,0.144,0.553,0
8.38,9,0.68,0.172,0
5.77,1,0.25,0.588,0
33.03,6,0.525,0.177,0
44.66,10,0.166,0.193,0
9.7,4,0.221,0.14,0
21.02,7,0.637,0.045,0
53.89,0,0.289,0.015,0
66.98,1,0.021,0.415,0
11.79,1,0.043,0.796,0
106.14,1,0.601,0.67,0
121.09,0,0.453,0.421,0
2.8,7,0.825,0.517,0
3.06,0,0.624,0.708,0
16.82,7,0.297,0.269,0
5.16,0,0.222,0.873,0
8.3,0,0.294,0.083,0
108.6,1,0.441,0.457,0
4.2,1,0.572,0.949,0
90.31,6,0.359,0.28,0
4.7,6,0.742,0.686,0
3.38,4,0.377,0.062,0
93.91,3,0.818,0.246,0
58.01,10,0.838,0.573,0
4.79,1,0.533,0.767,0
2.84,5,0.472,0.928,0
133.85,10,0.818,0.94,0
38.62,6,0.671,0.914,0
3.6,0,0.442,0.943,0
85.39,3,0.829,0.148,0
41.64,2,0.892,0.135,0
3.98,7,0.3,0.374,0
49.93,3,0.082,0.736,0
81.6,7,0.599,0.718,0
139.83,5,0.76,0.254,0
4.67,7,0.686,0.395,0
42.81,1,0.503,0.811,0
95.37,5,0.705,0.481,0
6.94,7,0.37,0.262,0
5.3,7,0.608,0.582,0
101.72,3,0.069,0.932,0
2.11,5,0.071,0.498,0
78.91,3,0.164,0.811,0
24.46,7,0.933,0.515,0
31.46,7,0.251,0.088,0
59.74,7,0.798,0.354,0
57.65,2,0.263,0.181,0
61.56,9,0.501,0.097,0
57.61,0,0.739,0.521,0
77.58,3,0.368,0.044,0
42.7,7,0.442,0.603,0
5.66,0,0.085,0.888,0
50.91,9,0.018,0.836,0
65.29,7,0.862,0.272,0
10.66,5,0.012,0.645,0
81.0,6,0.649,0.502,0
78.13,5,0.806,0.587,0
64.03,9,0.647,0.406,0
87.43,4,0.052,0.67,0
39.78,0,0.934,0.053,0
118.58,9,0.941,0.703,0
35.21,10,0.206,0.817,0
68.16,5,0.124,0.844,0
12.56,2,0.804,0.619,0
18.01,1,0.184,0.382,0
6.14,10,0.899,0.025,0
42.7,0,0.422,0.078,0
1.01,7,0.101,0.298,0
126.67,10,0.646,0.409,0
100.27,9,0.514,0.436,0
18.28,0,0.854,0.314,0
77.24,3,0.16,0.615,0
61.71,1,0.619,0.55,0
4.84,0,0.245,0.621,0
86.24,10,0.36,0.551,0
25.01,5,0.135,0.643,0
7.47,1,0.556,0.339,0
17.55,0,0.762,0.485,0
5.65,2,0.843,0.179,0
23.15,0,0.409,0.524,0
6.33,10,0.247,0.456,0
36.29,10,0.324,0.989,0
75.88,3,0.983,0.212,0
136.81,5,0.088,0.771,0
2.14,1,0.668,0.531,0
9.25,7,0.438,0.58,0
5.25,2,0.436,0.404,0
35.62,9,0.715,0.6,0
20.19,0,0.303,0.675,0
31.77,7,0.167,0.8,0
149.12,2,0.698,0.281,0
104.67,0,0.053,0.755,0
416.92,3,0.251,0.248,0
65.26,5,0.104,0.544,0
62.92,1,0.542,0.418,0
1.23,1,0.826,0.056,0
65.03,0,0.15,0.444,0
7.68,1,0.275,0.61,0
113.31,10,0.234,0.796,0
2.25,1,0.123,0.863,0
1144.9,5,0.42,0.784,0
71.9,7,0.446,0.897,0
7.3,0,0.412,0.594,0
156.15,0,0.901,0.552,0
8.0,4,0.584,0.982,0
20.9,7,0.326,0.358,0
82.66,5,0.445,0.868,0
48.58,10,0.211,0.269,0
52.31,7,0.468,0.968,0
112.48,2,0.845,0.759,0
42.2,7,0.155,0.439,0
72.86,10,0.49,0.819,0
3.21,10,0.457,0.187,0
5.08,7,0.427,0.575,0
279.88,10,0.234,0.591,0
3.34,0,0.594,0.298,0
30.63,2,0.811,0.645,0
4.56,0,0.801,0.833,0
103.19,10,0.628,0.74,0
200.28,4,0.656,0.025,0
26.08,7,0.696,0.392,0
72.08,3,0.814,0.538,0
10.71,7,0.156,0.674,0
37.17,1,0.587,0.706,0
1.49,1,0.441,0.411,0
145.42,2,0.951,0.972,0
95.45,1,0.509,0.705,0
1.41,1,0.663,0.498,0
6.71,9,0.784,0.926,0
4.33,7,0.816,0.994,0
5.72,7,0.768,0.847,0
16.2,0,0.839,0.895,0
547.41,3,0.942,0.404,0
20.03,4,0.246,0.871,0
81.74,5,0.952,0.335,0
101.63,7,0.264,0.854,0
20.22,0,0.593,0.736,0
35.74,0,0.245,0.499,0
11.39,9,0.89,0.605,0
44.91,10,0.013,0.869,0
82.91,6,0.944,0.17,0
111.06,5,0.998,0.125,0
70.84,1,0.244,0.105,0
62.58,7,0.577,0.715,0
60.66,1,0.282,0.376,0
7.2,1,0.718,0.851,0
62.61,5,0.392,0.111,0
168.46,10,0.904,0.167,0
5.35,10,0.814,0.561,0
274.12,6,0.405,0.967,0
2.68,4,0.368,0.338,0
20.15,7,0.653,0.712,0
47.32,10,0.521,0.803,0
47.32,2,0.22,0.768,0
124.12,7,0.985,0.526,0
182.4,1,0.064,0.361,0
43.58,5,0.582,0.94,0
2.08,1,0.346,0.421,0
95.34,3,0.905,0.509,0
6.37,9,0.346,0.196,0
4.1,2,0.376,0.952,0
20.72,2,0.51,0.197,0
84.78,9,0.01,0.743,0
7.09,5,0.297,0.699,0
88.79,1,0.568,0.581,0
4.54,1,0.876,0.97,0
110.08,1,0.567,0.597,0
26.75,1,0.814,0.276,0
9.97,10,0.138,0.664,0
62.69,10,0.41,0.169,0
46.72,5,0.668,0.966,0
2.89,7,0.044,0.191,0
68.94,0,0.027,0.2,0
51.14,6,0.86,0.886,0
11.59,7,0.231,0.755,0
7.73,1,0.625,0.663,0
2.53,7,0.785,0.356,0
11.04,5,0.431,0.849,0
6.39,0,0.085,0.705,0
4.6,9,0.452,0.389,0
68.84,0,0.016,0.713,0
2.36,0,0.677,0.168,0
19.38,2,0.484,0.811,0
5.83,10,0.397,0.715,0
19.36,7,0.096,0.241,0
4.32,7,0.141,0.717,0
15.32,0,0.95,0.143,0
6.57,2,0.145,0.813,0
15.31,6,0.57,0.145,0
3.84,10,0.031,0.514,0
8.04,0,0.912,0.491,0
5.84,10,0.875,0.754,0
4.23,7,0.905,0.321,0
8.77,10,0.852,0.772,0
100.92,9,0.912,0.074,0
32.77,6,0.69,0.488,0
60.01,6,0.805,0.283,0
98.39,2,0.14,0.556,0
10.97,7,0.378,0.384,0
120.72,7,0.506,0.316,0
6.17,0,0.94,0.827,0
7.89,1,0.189,0.59,0
58.38,3,0.324,0.651,0
120.38,1,0.785,0.38,0
185.36,7,0.227,0.434,0
1.55,0,0.049,0.647,0
3.82,1,0.857,0.835,0
109.59,1,0.304,0.355,0
7.76,2,0.931,0.041,0
60.89,7,0.076,0.776,0
338.88,5,0.792,0.706,0
128.47,7,0.768,0.691,0
41.72,0,0.148,0.492,0
44.22,9,0.009,0.94,0
1.53,5,0.627,0.498,0
20.65,7,0.119,0.676,0
4.17,9,0.559,0.046,0
58.25,3,0.736,0.531,0
306.48,2,0.234,0.51,0
35.08,5,0.162,0.235,0
12.31,7,0.882,0.332,0
45.81,7,0.946,0.642,0
71.13,0,0.866,0.087,0
42.95,1,0.809,0.259,0
588.21,7,0.974,0.489,0
94.76,6,0.334,0.446,0
122.9,5,0.588,0.9,0
59.97,5,0.847,0.266,0
475.99,4,0.237,0.396,0
8.37,7,0.177,0.522,0
60.13,1,0.639,0.171,0
180.01,7,0.751,0.672,0
9.64,9,0.228,0.209,0
108.85,5,0.101,0.629,0
26.46,0,0.904,0.658,0
42.18,2,0.925,0.844,0
1.18,2,0.581,0.094,0
132.07,1,0.847,0.072,0
87.55,1,0.603,0.038,0
28.92,6,0.718,0.283,0
8.84,0,0.552,0.399,0
6.99,9,0.068,0.494,0
40.88,0,0.891,0.606,0
1.19,7,0.943,0.93,0
3.22,9,0.751,0.871,0
130.15,7,0.112,0.399,0
9.46,4,0.101,0.872,0
6.52,1,0.94,0.174,0
69.01,1,0.853,0.181,0
85.07,3,0.592,0.028,0
5.21,1,0.754,0.532,0
2.53,0,0.166,0.18,0
34.53,1,0.238,0.093,0
88.27,4,0.245,0.216,0
13.5,1,0.725,0.966,0
92.48,6,0.456,0.807,0
6.98,1,0.534,0.1,0
224.75,0,0.683,0.151,0
35.15,1,0.796,0.688,0
39.34,5,0.797,0.472,0
