amt,is_fraud,user_id,latitudinal_distance,longitudinal_distance
134.6,0,11,0.743,0.976
124.66,0,0,0.059,0.365
9.48,0,11,0.403,0.098
94.86,0,11,0.198,0.246
8.92,0,4,0.054,0.692
30.48,0,9,0.522,0.912
69.15,0,8,0.209,0.156
73.29,0,13,0.104,0.644
160.13,0,12,0.137,0.816
78.52,0,0,0.812,0.214
55.78,0,13,0.511,0.369
13.38,0,11,0.803,0.285
18.55,0,7,0.676,0.62
69.35,0,6,0.224,0.576
4.96,0,15,0.155,0.165
147.92,0,5,0.925,0.758
6.88,0,15,0.144,0.082
48.32,0,12,0.346,0.004
44.92,0,4,0.149,0.524
2.37,0,11,0.508,0.12
17.15,0,9,0.347,0.995
7.87,0,11,0.347,0.023
17.03,0,1,0.145,0.014
8.33,0,11,0.598,0.024
119.91,0,4,0.816,0.685
98.38,0,3,0.793,0.032
9.08,0,12,0.84,0.399
65.23,0,15,0.826,0.119
109.08,0,13,0.419,0.601
75.95,0,6,0.477,0.82
119.65,0,13,0.596,0.434
91.47,0,14,0.094,0.426
146.59,0,12,0.378,0.544
79.44,0,11,0.182,0.802
1.93,0,12,0.849,0.502
123.43,0,5,0.634,0.449
65.25,0,0,0.928,0.803
154.56,0,5,0.421,0.549
11.43,0,10,0.121,0.106
45.0,0,9,0.842,0.853
74.51,0,4,0.839,0.478
15.36,0,7,0.001,0.037
72.68,0,1,0.649,0.943
16.02,0,15,0.512,0.083
23.84,0,7,0.388,0.71
87.74,0,0,0.541,0.317
52.07,0,12,0.99,0.948
26.71,0,12,0.283,0.363
52.38,0,7,0.67,0.898
12.72,0,14,0.974,0.341
133.48,0,15,0.182,0.209
29.5,0,7,0.506,0.749
44.82,0,3,0.544,0.484
81.67,0,13,0.807,0.766
47.86,0,12,0.985,0.371
37.8,0,14,0.955,0.409
7.56,0,12,0.139,0.182
38.78,0,11,0.887,0.775
10.12,0,14,0.499,0.901
3.56,0,4,0.218,0.253
51.26,0,13,0.125,0.49
